English,Spanish
you,tú
I,Yo
the,el
to,a
a,un
it,él
and,y
that,eso
of,de
is,es
in,en
what,qué
we,nosotros
me,a mí
this,este
he,él
for,para
my,mi
on,en
have,tener
your,su
do,hacer
no,No
was,era
not,no
are,son
don,don
be,ser
know,saber
can,poder
with,con
but,pero
all,todo
so,entonces
just,justo
here,aquí
there,allá
they,ellos
like,como
get,conseguir
she,ella
go,ir
if,si
right,bien
out,afuera
about,acerca de
up,arriba
him,a él
at,en
now,ahora
one,uno
come,venir
oh,Vaya
her,su
how,cómo
well,Bueno
will,voluntad
want,desear
got,consiguió
yeah,sí
think,pensar
see,ver
as,como
who,OMS
good,bien
why,por qué
did,hizo
let,dejar
from,de
his,su
yes,Sí
when,cuando
going,yendo
l,l
an,un
time,tiempo
back,atrás
okay,bueno
look,mirar
us,a nosotros
where,dónde
them,a ellos
take,llevar
would,haría
were,eran
then,entonces
or,o
had,tenía
been,estado
tell,decir
our,nuestro
man,hombre
some,alguno
say,decir
really,en realidad
gonna,ir a
hey,ey
could,podría
didn,no
by,por
has,tiene
something,algo
too,también
need,necesidad
more,más
way,forma
down,abajo
make,hacer
never,nunca
very,muy
only,solo
over,encima
people,gente
because,porque
little,pequeño
please,por favor
love,amar
give,dar
should,debería
sorry,Lo siento
said,dicho
mean,significar
off,apagado
am,soy
any,cualquier
two,dos
thank,agradecer
even,incluso
much,mucho
doing,haciendo
sure,seguro
thing,cosa
these,estos
help,ayuda
first,primero
into,en
anything,cualquier cosa
still,aún
sir,Señor
life,vida
nothing,nada
find,encontrar
god,dios
day,día
work,trabajar
again,de nuevo
must,debe
their,su
won,ganado
stop,detener
maybe,tal vez
call,llamar
wait,esperar
before,antes
other,otro
away,lejos
talk,hablar
after,después
night,noche
home,hogar
uh,oh
than,que
thought,pensamiento
put,poner
great,excelente
last,último
those,aquellos
better,mejor
everything,todo
told,dijo
new,nuevo
always,siempre
things,cosas
long,largo
keep,mantener
leave,dejar
years,años
money,dinero
does,hace
doesn,no
around,alrededor
name,nombre
father,padre
guy,chico
place,lugar
feel,sentir
ever,alguna vez
guys,tipo
old,viejo
made,hecho
isn,no
big,grande
which,cual
nice,lindo
girl,chica
hello,Hola
believe,creer
done,hecho
ok,OK
lot,lote
fine,bien
someone,alguien
thanks,gracias
house,casa
wanted,buscado
coming,próximo
kind,amable
every,cada
stay,permanecer
left,izquierda
mother,madre
through,a través de
being,ser
enough,suficiente
may,puede
course,curso
dad,papá
happened,sucedió
wrong,equivocado
listen,escuchar
bad,malo
came,vino
understand,entender
three,tres
today,hoy
world,mundo
another,otro
hear,escuchar
remember,recordar
might,podría
ask,preguntar
own,propio
same,mismo
kill,matar
show,espectáculo
else,demás
talking,hablando
found,encontró
care,cuidado
son,hijo
car,auto
next,próximo
getting,conseguir
try,intentar
looking,mirando
woman,mujer
dead,muerto
hi,Hola
went,fue
many,muchos
friend,amigo
mind,mente
hell,infierno
wasn,no era
mom,mamá
boy,chico
best,mejor
yourself,tú mismo
morning,mañana
together,juntos
saw,sierra
trying,intentando
job,trabajo
without,sin
real,real
baby,bebé
family,familia
room,habitación
move,mover
already,ya
wouldn,no
live,vivir
seen,visto
miss,extrañar
most,mayoría
shit,mierda
actually,de hecho
once,una vez
heard,escuchó
brother,hermano
head,cabeza
ready,listo
happy,feliz
hold,sostener
such,semejante
called,llamado
both,ambos
used,usado
knew,sabía
men,hombres
haven,refugio
idea,idea
wife,esposa
yet,todavía
took,tomó
fuck,Mierda
also,también
pretty,bonito
days,días
since,desde
while,mientras
whole,entero
tomorrow,mañana
start,comenzar
use,usar
door,puerta
bit,poco
matter,asunto
bring,traer
meet,encontrarse
tonight,esta noche
guess,adivinar
run,correr
alone,solo
everyone,todos
school,escuela
gone,desaparecido
hard,duro
myself,mí mismo
wanna,querer
play,jugar
problem,problema
end,fin
saying,dicho
open,abierto
couldn,se pudo
friends,amigos
fucking,maldito
ago,atrás
killed,delicado
looks,aspecto
few,pocos
gotta,tengo que
ah,ahorcado
anyone,alguien
phone,teléfono
hope,esperanza
lost,perdido
excuse,disculpar
face,rostro
um,um
until,hasta
die,morir
turn,doblar
police,policía
heart,corazón
wants,quiere
says,dice
true,verdadero
worry,preocuparse
soon,pronto
business,negocio
case,caso
later,más tarde
each,cada
watch,mirar
year,año
hand,mano
having,teniendo
beautiful,hermoso
doctor,doctor
eat,comer
sit,sentarse
probably,probablemente
thinking,pensamiento
late,tarde
forget,olvidar
young,joven
second,segundo
kids,niños
kid,niño
pay,pagar
crazy,loco
water,agua
death,muerte
working,laboral
under,bajo
stuff,cosa
minute,minuto
part,parte
person,persona
everybody,todos
damn,maldición
drink,beber
gave,dio
change,cambiar
exactly,exactamente
happen,suceder
shut,cerrar
five,cinco
knows,saber
eyes,ojos
hit,golpear
far,lejos
aren,no sean
easy,fácil
whatever,lo que
its,es
hands,manos
taking,tomando
times,veces
check,controlar
minutes,minutos
music,música
inside,adentro
sleep,dormir
means,medio
somebody,alguien
mine,mío
deal,trato
different,diferente
asked,preguntó
makes,marcas
point,punto
afraid,asustado
body,cuerpo
anyway,de todos modos
dear,estimado
four,cuatro
shall,deberá
ain,ain
chance,oportunidad
close,cerca
making,haciendo
waiting,espera
party,fiesta
daughter,hija
comes,llega
word,palabra
against,contra
fun,divertido
number,número
married,casado
hurt,herir
story,historia
set,colocar
wish,desear
least,el menos
quite,bastante
important,importante
girls,chicas
husband,marido
fire,fuego
nobody,nadie
fight,luchar
children,niños
rest,descansar
moment,momento
week,semana
read,leer
stand,pararse
game,juego
cut,cortar
sister,hermana
speak,hablar
child,niño
side,lado
women,mujer
supposed,supuesto
started,comenzó
between,entre
hours,horas
goes,va
blood,sangre
though,aunque
truth,verdad
lady,dama
anymore,ya no
behind,detrás
almost,casi
shot,disparo
gets,obtiene
war,guerra
break,romper
walk,caminar
yours,tuyo
able,capaz
reason,razón
trouble,problema
met,reunió
city,ciudad
town,ciudad
trust,confianza
mr,señor
brought,trajo
died,fallecido
question,pregunta
buy,comprar
office,oficina
half,medio
bye,adiós
high,alto
free,gratis
s,s
welcome,bienvenido
couple,pareja
either,cualquiera
hurry,apurarse
telling,narración
stupid,estúpido
honey,Miel
power,fuerza
wow,Guau
tried,intentó
bed,cama
front,frente
cool,Frío
answer,respuesta
playing,jugando
seems,parece
boys,Niños
send,enviar
gun,pistola
line,línea
team,equipo
news,noticias
months,meses
captain,capitán
save,ahorrar
full,lleno
hate,odiar
sometimes,a veces
become,convertirse
whoa,whoa
lord,caballero
along,a lo largo de
dog,perro
outside,afuera
food,alimento
light,luz
order,orden
hot,caliente
funny,divertido
clear,claro
needs,necesidades
six,seis
country,país
alive,vivo
pick,elegir
em,Em
fact,hecho
ahead,adelante
black,negro
boss,jefe
living,viviendo
lose,perder
feeling,sentimiento
leaving,partida
cause,causa
dinner,cena
shouldn,debería
promise,promesa
king,rey
running,correr
plan,plan
taken,tomado
sort,clasificar
book,libro
ma,mamá
sent,enviado
anybody,cualquiera
hour,hora
white,blanco
small,pequeño
alright,está bien
sick,enfermo
parents,padres
uncle,tío
lives,vidas
safe,seguro
perfect,perfecto
poor,pobre
ass,culo
shoot,disparar
scared,asustado
special,especial
serious,grave
himself,él mismo
red,rojo
perhaps,tal vez
touch,tocar
earth,tierra
john,John
sounds,sonidos
company,compañía
past,pasado
cannot,no puedo
possible,posible
